Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,962,2411.642411642412,14.553014553014552,74,57599,873,0,14,0,307,165,10531,0,2,0,12,BENIGN
6,1639,4201.342281879195,20.744356314826113,49,75119,1578,0,34,0,1032,202,51754,0,2,0,30,BENIGN
17,8839,80.09955877361692,1.3576196402307954,803,2012850,4051,0,12,56,62,59,17,0,0,0,0,BENIGN
6,251,5737.051792828685,39.8406374501992,27,4388,201,0,10,0,268,144,8740,0,2,0,8,BENIGN
6,77,37272.72727272727,207.7922077922078,5,340,69,0,16,0,348,179,18617,0,2,0,12,BENIGN
6,3,517333.3333333333,2666.6666666666665,0,0,2,0,8,0,344,194,24910,0,2,0,6,BENIGN
6,12,202666.66666666666,1000.0,1,4,7,0,12,0,952,202,123479,0,2,0,10,BENIGN
6,3,922000.0,4666.666666666667,0,0,1,0,14,6,348,197,14737,0,0,0,12,BENIGN
6,12245,130.50224581461822,0.4083299305839118,3061,22626604,10028,0,5,0,796,319,189122,0,1,0,2,BENIGN
6,6395,3837.842064112588,2.9710711493354185,355,1451550,5138,0,19,0,2920,1291,707377,0,1,0,4,BENIGN
6,6180,1632.200647249191,1.941747572815534,561,2444358,5258,0,12,2,1460,840,413810,0,1,0,5,BENIGN
6,10789,310.3160626564093,0.5561219760867551,2157,19595138,10072,4,6,2,2988,558,1429912,0,1,0,3,BENIGN
6,10878,298.9520132377275,0.6435006435006435,1813,16454036,10085,0,7,2,1506,464,490053,0,1,0,3,BENIGN
6,14979,207262.9681554176,106.54916883637092,9,30767,6064,0,1596,0,4380,1945,662310,0,1,0,211,BENIGN
6,14359,53.903475172365766,0.3482136639041716,3589,22451798,10009,1,5,0,384,154,43744,0,1,0,2,BENIGN
6,12254,130.40639791088626,0.40803003101028235,3063,22543267,10013,1,5,0,796,319,189122,0,1,0,2,BENIGN
6,12266,195.17365074188814,0.4891570194032284,2453,18791620,10023,1,6,0,796,399,189124,0,1,0,3,BENIGN
6,10076,661.3735609368797,0.8932115919015482,1259,12520158,10018,0,9,0,1488,740,502954,0,1,0,3,BENIGN
6,10106,6591.133979813972,4.848604789234118,210,2087160,10017,0,49,0,2920,1359,368862,0,1,0,4,BENIGN
6,10110,176.06330365974284,0.39564787339268054,3370,33353408,10039,27,4,0,1774,445,784904,0,1,0,1,BENIGN
6,10126,175.7851076436895,0.4937783922575548,2531,24945656,10023,0,5,0,1396,356,364502,0,1,0,2,BENIGN
6,10146,175.43859649122808,0.39424403705893946,3382,33206851,10036,47,4,0,1774,445,784904,0,1,0,1,BENIGN
6,10157,175.2485970266811,0.3938170719700699,3385,33021312,10021,44,4,0,1774,445,784904,0,1,0,1,BENIGN
6,10086,74.55879436843149,0.396589331746976,3362,33333465,10029,17,4,0,746,188,138308,0,1,0,1,BENIGN
6,13401,111.78270278337438,0.37310648459070217,3350,22284185,10042,17,5,0,746,299,166115,0,1,0,2,BENIGN
6,6043,1005.2953830878703,0.9928843289756744,1208,7300850,6042,0,6,0,1689,1012,619959,0,0,0,1,BENIGN
6,10020,80.03992015968063,0.2994011976047904,5010,50200200,10020,0,3,0,796,267,209625,0,0,0,1,BENIGN
6,10315,327.5811924381968,0.6786233640329618,1719,16811889,10089,0,7,2,1615,482,528192,0,1,0,3,BENIGN
6,10084,1.190003966679889,0.19833399444664815,10084,1,10084,10084,2,6,6,6,0,0,0,0,0,BENIGN
6,11129,1040.79432114296,0.988408662054093,1112,10339929,10259,0,11,0,2521,1053,731342,0,1,0,4,BENIGN
6,11340,467.46031746031747,0.7054673721340388,1620,14551321,10260,1,8,0,1786,662,535995,0,1,0,4,BENIGN
6,11355,451.6952884191986,0.7926023778071334,1419,12822530,10269,0,9,0,1460,569,405069,0,1,0,4,BENIGN
6,11371,556.41544279307,0.879430129276229,1263,11415243,10266,0,10,0,1460,632,399496,0,1,0,5,BENIGN
6,11371,401.7236830533814,0.7914871163486061,1421,12767368,10250,0,9,0,1786,507,452812,0,1,0,4,BENIGN
6,11371,449.7405681118635,0.7914871163486061,1421,12811211,10267,0,9,0,1460,568,402618,0,1,0,4,BENIGN
6,11385,385.2437417654809,0.7026789635485288,1626,14528951,10258,1,8,0,1786,548,483448,0,1,0,4,BENIGN
6,10757,253.88119364134982,0.6507390536394906,1792,17144383,10242,0,7,0,1460,390,385805,0,1,0,2,BENIGN
6,10767,411.34949382372065,0.6501346707532275,1794,17131697,10240,0,7,0,2920,632,1259292,0,1,0,2,BENIGN
6,11176,408.55404438081604,0.8052970651395849,1397,12855110,10262,1,9,0,1786,507,452969,0,1,0,4,BENIGN
6,10757,222.92460723249977,0.5577763316909919,2151,20493467,10247,1,6,0,2234,399,811000,0,1,0,2,BENIGN
6,10819,345.59571124872906,0.7394398742952214,1545,14779012,10260,0,8,0,1786,467,527236,0,1,0,3,BENIGN
6,11839,1073.317003125264,1.0980657150097137,986,8557836,10250,0,13,0,1786,977,443605,0,1,0,5,BENIGN
6,10088,1.189532117367169,0.19825535289452814,10088,1,10088,10088,2,6,6,6,0,0,0,0,0,BENIGN
6,10083,1.1901219875037192,0.19835366458395318,10083,1,10083,10083,2,6,6,6,0,0,0,0,0,BENIGN
6,14992,0.400213447171825,0.2001067235859125,7496,12852450,10031,4961,3,0,6,2,12,1,0,0,0,BENIGN
6,14990,0.400266844563042,0.200133422281521,7495,12862592,10031,4959,3,0,6,2,12,1,0,0,0,BENIGN
6,10017,0.0,0.1996605770190676,10017,1,10017,10017,2,0,0,0,0,0,0,0,0,BENIGN
6,10023,0.0,0.199541055572184,10023,1,10023,10023,2,0,0,0,0,0,0,0,0,BENIGN
6,10019,0.0,0.19962072063080147,10019,1,10019,10019,2,0,0,0,0,0,0,0,0,BENIGN
6,10823,395.7313129446549,0.7391665896701469,1546,14747323,10251,0,8,0,1786,535,526000,0,1,0,3,BENIGN
6,10031,0.0,0.19938191606021333,10031,1,10031,10031,2,0,0,0,0,0,0,0,0,BENIGN
6,10016,0.0,0.19968051118210864,10016,1,10016,10016,2,0,0,0,0,0,0,0,0,BENIGN
6,10014,0.0,0.19972039145196724,10014,1,10014,10014,2,0,0,0,0,0,0,0,0,BENIGN
6,10030,0.0,0.19940179461615154,10030,1,10030,10030,2,0,0,0,0,0,0,0,0,BENIGN
6,10030,0.0,0.19940179461615154,10030,1,10030,10030,2,0,0,0,0,0,0,0,0,BENIGN
6,10038,0.0,0.19924287706714486,10038,1,10038,10038,2,0,0,0,0,0,0,0,0,BENIGN
6,10233,0.0,0.1954461057363432,10233,1,10233,10233,2,0,0,0,0,0,0,0,0,BENIGN
6,10015,0.0,0.19970044932601097,10015,1,10015,10015,2,0,0,0,0,0,0,0,0,BENIGN
6,10078,1.1907124429450289,0.19845207382417146,10078,1,10078,10078,2,6,6,6,0,0,0,0,0,BENIGN
6,6000,133.66666666666666,0.5,3000,18000000,6000,0,3,0,796,267,209625,0,0,0,1,BENIGN
6,10082,1.1902400317397341,0.19837333862328904,10082,1,10082,10082,2,6,6,6,0,0,0,0,0,BENIGN
6,10079,1.1905943049905745,0.19843238416509573,10079,1,10079,10079,2,6,6,6,0,0,0,0,0,BENIGN
6,10082,1.1902400317397341,0.19837333862328904,10082,1,10082,10082,2,6,6,6,0,0,0,0,0,BENIGN
6,10014,0.0,0.19972039145196724,10014,1,10014,10014,2,0,0,0,0,0,0,0,0,BENIGN
6,10016,0.0,0.19968051118210864,10016,1,10016,10016,2,0,0,0,0,0,0,0,0,BENIGN
6,14637,26.64480426316868,0.273280043724807,4879,25148620,10019,0,4,0,384,97,36489,0,0,0,1,BENIGN
6,530,14658.490566037735,47.16981132075472,22,1077,121,0,25,0,1430,310,288186,0,1,0,10,BENIGN
6,14278,56.1703319792688,0.28015128169211373,4759,25263687,10016,1,4,0,796,200,157617,0,0,0,1,BENIGN
6,624,1289192.3076923077,733.974358974359,1,79,84,0,458,0,4380,1756,694662,0,1,0,112,BENIGN
6,10030,0.0,0.19940179461615154,10030,1,10030,10030,2,0,0,0,0,0,0,0,0,BENIGN
6,10376,309.7532767925983,0.8673862760215882,1297,12599272,10082,0,9,2,1521,357,415760,0,1,0,3,BENIGN
6,323,68708.97832817337,71.20743034055728,14,829,101,0,23,0,2297,964,496934,0,1,0,16,BENIGN
6,10030,0.0,0.19940179461615154,10030,1,10030,10030,2,0,0,0,0,0,0,0,0,BENIGN
6,10284,376.7016725009724,0.5834305717619603,2056,20113661,10079,0,6,2,2943,645,1382192,0,1,0,3,BENIGN
6,10012,0.0,0.1997602876548142,10012,1,10012,10012,2,0,0,0,0,0,0,0,0,BENIGN
6,10078,1.1907124429450289,0.19845207382417146,10078,1,10078,10078,2,6,6,6,0,0,0,0,0,BENIGN
6,12617,27130.77593722755,15.693112467306015,64,568403,10458,0,198,0,4380,1728,553115,0,1,0,11,BENIGN
6,10020,0.0,0.1996007984031936,10020,1,10020,10020,2,0,0,0,0,0,0,0,0,BENIGN
6,1182,853598.9847715736,389.17089678510996,2,508,149,0,460,0,4380,2193,820561,0,1,0,20,BENIGN
6,503,42166.99801192843,49.70178926441352,20,2990,263,0,25,0,2860,848,672320,0,1,0,18,BENIGN
6,3165,1265393.680884676,572.1958925750395,1,483,888,0,1811,6,4380,2211,698143,0,0,0,36,BENIGN
6,10011,0.0,0.1997802417340925,10011,1,10011,10011,2,0,0,0,0,0,0,0,0,BENIGN
6,10016,0.0,0.19968051118210864,10016,1,10016,10016,2,0,0,0,0,0,0,0,0,BENIGN
6,10024,0.0,0.19952114924181963,10024,1,10024,10024,2,0,0,0,0,0,0,0,0,BENIGN
6,10009,0.0,0.1998201618543311,10009,1,10009,10009,2,0,0,0,0,0,0,0,0,BENIGN
6,10025,0.0,0.19950124688279303,10025,1,10025,10025,2,0,0,0,0,0,0,0,0,BENIGN
6,10083,1.1901219875037192,0.19835366458395318,10083,1,10083,10083,2,6,6,6,0,0,0,0,0,BENIGN
6,10026,0.0,0.19948134849391583,10026,1,10026,10026,2,0,0,0,0,0,0,0,0,BENIGN
6,10078,1.1907124429450289,0.19845207382417146,10078,1,10078,10078,2,6,6,6,0,0,0,0,0,BENIGN
6,10019,0.0,0.19962072063080147,10019,1,10019,10019,2,0,0,0,0,0,0,0,0,BENIGN
6,10015,0.0,0.19970044932601097,10015,1,10015,10015,2,0,0,0,0,0,0,0,0,BENIGN
6,10031,0.0,0.19938191606021333,10031,1,10031,10031,2,0,0,0,0,0,0,0,0,BENIGN
6,10021,0.0,0.19958088015168146,10021,1,10021,10021,2,0,0,0,0,0,0,0,0,BENIGN
6,10016,0.0,0.19968051118210864,10016,1,10016,10016,2,0,0,0,0,0,0,0,0,BENIGN
6,10015,0.0,0.19970044932601097,10015,1,10015,10015,2,0,0,0,0,0,0,0,0,BENIGN
6,10031,0.0,0.19938191606021333,10031,1,10031,10031,2,0,0,0,0,0,0,0,0,BENIGN
6,10069,1.1917767404906148,0.1986294567484358,10069,1,10069,10069,2,6,6,6,0,0,0,0,0,BENIGN
6,10014,0.0,0.19972039145196724,10014,1,10014,10014,2,0,0,0,0,0,0,0,0,BENIGN
6,10077,1.1908306043465318,0.19847176739108863,10077,1,10077,10077,2,6,6,6,0,0,0,0,0,BENIGN
6,10014,0.0,0.19972039145196724,10014,1,10014,10014,2,0,0,0,0,0,0,0,0,BENIGN
6,10020,0.0,0.1996007984031936,10020,1,10020,10020,2,0,0,0,0,0,0,0,0,BENIGN
6,10021,0.0,0.19958088015168146,10021,1,10021,10021,2,0,0,0,0,0,0,0,0,BENIGN
6,10023,0.0,0.199541055572184,10023,1,10023,10023,2,0,0,0,0,0,0,0,0,BENIGN
6,10030,0.0,0.19940179461615154,10030,1,10030,10030,2,0,0,0,0,0,0,0,0,BENIGN
6,15,3466.6666666666665,133.33333333333334,15,1,15,15,2,6,46,26,800,0,0,0,1,BENIGN
6,10020,0.0,0.1996007984031936,10020,1,10020,10020,2,0,0,0,0,0,0,0,0,BENIGN
6,10030,0.0,0.19940179461615154,10030,1,10030,10030,2,0,0,0,0,0,0,0,0,BENIGN
6,10021,0.0,0.19958088015168146,10021,1,10021,10021,2,0,0,0,0,0,0,0,0,BENIGN
6,10015,0.0,0.19970044932601097,10015,1,10015,10015,2,0,0,0,0,0,0,0,0,BENIGN
6,150,346.6666666666667,13.333333333333334,150,1,150,150,2,6,46,26,800,0,0,0,2,BENIGN
6,10015,0.0,0.19970044932601097,10015,1,10015,10015,2,0,0,0,0,0,0,0,0,BENIGN
6,149,348.99328859060404,13.422818791946309,149,1,149,149,2,6,46,26,800,0,0,0,2,BENIGN
6,10031,0.0,0.19938191606021333,10031,1,10031,10031,2,0,0,0,0,0,0,0,0,BENIGN
6,10016,0.0,0.19968051118210864,10016,1,10016,10016,2,0,0,0,0,0,0,0,0,BENIGN
6,10015,0.0,0.19970044932601097,10015,1,10015,10015,2,0,0,0,0,0,0,0,0,BENIGN
